,use,gen,netload,use,gen,netload,use,gen,netload,use,gen,netload,use,gen,netload,use,gen,netload,use,gen,netload,use,gen,netload,use,gen,netload,use,gen,netload,netload,temperature
,solar_home1,solar_home1,solar_home1,proxy1,proxy1,proxy1,home1,home1,home1,home2,home2,home2,home3,home3,home3,solar_home2,solar_home2,solar_home2,solar_home3,solar_home3,solar_home3,proxy2,proxy2,proxy2,home4,home4,home4,solar_home4,solar_home4,solar_home4,agg,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01 00:00:00,0.9941333333333333,-0.004,0.9981333333333333,0.2944,-0.006,0.3004,1.2008,0.0,1.2008,0.7212,0.0,0.7212,1.3161333333333334,0.0,1.3161333333333334,0.3586666666666667,-0.008,0.3666666666666667,0.8680666666666667,-0.014533333333333334,0.8825999999999999,0.6086666666666667,-0.008,0.6166666666666667,0.3448,0.0,0.3448,0.4604666666666667,-0.007333333333333333,0.46780000000000005,7.2152,69.41
2015-04-01 00:15:00,1.6684666666666668,-0.004,1.6724666666666668,0.29473333333333335,-0.006,0.30073333333333335,0.4884,0.0,0.4884,0.7528666666666667,0.0,0.7528666666666667,1.2932,0.0,1.2932,0.446,-0.008,0.454,0.6964666666666667,-0.014,0.7104666666666667,0.6036666666666667,-0.0076,0.6112666666666667,0.3164,0.0,0.3164,0.3346,-0.007,0.3416,6.9414,69.3925
2015-04-01 00:30:00,1.0976,-0.004,1.1016,0.2958,-0.006,0.3018,0.45526666666666665,0.0,0.45526666666666665,0.6045333333333334,0.0,0.6045333333333334,1.2824666666666666,0.0,1.2824666666666666,0.4272666666666667,-0.008,0.4352666666666667,0.9174666666666667,-0.014533333333333334,0.9319999999999999,0.5718666666666666,-0.0076,0.5794666666666667,1.0717333333333332,0.0,1.0717333333333332,0.37793333333333334,-0.007333333333333333,0.3852666666666667,7.1494,69.375
2015-04-01 00:45:00,1.0805333333333333,-0.004,1.0845333333333333,0.37733333333333335,-0.006,0.38333333333333336,0.35026666666666667,0.0,0.35026666666666667,0.7606666666666667,0.0,0.7606666666666667,2.9,0.0,2.9,0.364,-0.008,0.372,0.5067333333333334,-0.014,0.5207333333333334,0.697,-0.007533333333333334,0.7045333333333332,2.797066666666667,0.0,2.797066666666667,0.47146666666666665,-0.008,0.47946666666666665,10.3526,69.3575
2015-04-01 01:00:00,1.827,-0.0038,1.8308,0.4019333333333333,-0.006,0.4079333333333333,1.1292666666666666,0.0,1.1292666666666666,0.5134666666666666,0.0,0.5134666666666666,1.3818666666666668,0.0,1.3818666666666668,0.5170666666666667,-0.008,0.5250666666666667,0.7115333333333334,-0.014466666666666666,0.726,0.5907333333333333,-0.007066666666666666,0.5978,0.23966666666666667,0.0,0.23966666666666667,0.3606,-0.0071333333333333335,0.3677333333333333,7.7196,69.34
2015-04-01 01:15:00,0.8618666666666667,-0.004,0.8658666666666667,0.3992,-0.006,0.4052,0.39253333333333335,0.0,0.39253333333333335,0.3569333333333333,0.0,0.3569333333333333,1.2838,0.0,1.2838,0.4036666666666667,-0.008,0.4116666666666667,0.5196666666666667,-0.013866666666666666,0.5335333333333334,0.7803333333333333,-0.008066666666666666,0.7884,0.2749333333333333,0.0,0.2749333333333333,0.3374,-0.007,0.3444,5.657266666666667,69.205
2015-04-01 01:30:00,0.9011333333333333,-0.004,0.9051333333333333,0.3873333333333333,-0.006,0.3933333333333333,0.484,0.0,0.484,0.5297333333333333,0.0,0.5297333333333333,1.7716666666666667,0.0,1.7716666666666667,0.40173333333333333,-0.008,0.40973333333333334,0.3918,-0.014,0.4058,0.47786666666666666,-0.007,0.48486666666666667,0.31066666666666665,0.0,0.31066666666666665,0.4679333333333333,-0.008,0.4759333333333333,6.170866666666667,69.07
2015-04-01 01:45:00,0.8486,-0.004,0.8526,0.392,-0.006,0.398,0.4696,0.0,0.4696,0.46873333333333334,0.0,0.46873333333333334,1.8804666666666667,0.0,1.8804666666666667,0.43333333333333335,-0.008,0.44133333333333336,0.9068,-0.0146,0.9214,0.6482,-0.0078,0.656,0.29806666666666665,0.0,0.29806666666666665,0.3992,-0.007466666666666667,0.4066666666666667,6.792866666666666,68.935
2015-04-01 02:00:00,0.9092666666666667,-0.004,0.9132666666666667,0.29706666666666665,-0.006,0.30306666666666665,0.3715333333333333,0.0,0.3715333333333333,0.3672,0.0,0.3672,1.447,0.0,1.447,0.43233333333333335,-0.008,0.44033333333333335,0.5070666666666667,-0.014,0.5210666666666667,0.6536666666666666,-0.0071333333333333335,0.6607999999999999,0.27973333333333333,0.0,0.27973333333333333,0.3327333333333333,-0.007,0.33973333333333333,5.6437333333333335,68.8
2015-04-01 02:15:00,1.5925333333333334,-0.0037333333333333333,1.5962666666666667,0.295,-0.006,0.301,0.34726666666666667,0.0,0.34726666666666667,0.5303333333333333,0.0,0.5303333333333333,2.086733333333333,0.0,2.086733333333333,0.4196,-0.008,0.4276,0.4484,-0.014,0.46240000000000003,0.6786,-0.007533333333333334,0.6861333333333333,0.23353333333333334,0.0,0.23353333333333334,0.4292666666666667,-0.0076,0.4368666666666667,7.108133333333333,68.6875
2015-04-01 02:30:00,0.9205333333333333,-0.004,0.9245333333333333,0.29586666666666667,-0.006,0.30186666666666667,1.1096,0.0,1.1096,0.45526666666666665,0.0,0.45526666666666665,2.5586,0.0,2.5586,0.4241333333333333,-0.008,0.4321333333333333,0.5814,-0.0142,0.5956,0.5811333333333333,-0.0074,0.5885333333333332,0.8300666666666666,0.0,0.8300666666666666,0.4216,-0.007666666666666666,0.42926666666666663,8.225466666666666,68.57499999999999
